number,type,name,city,latitude,longitude,result_city,result_type
94,rue,TURENNE,Paris,48.861952,2.36473,Paris,housenumber
19,rue,N.-D. DE LORETTE,Paris,48.877869,2.337959,Paris,housenumber
10,place,DANCOURT,Paris,48.883112,2.341882,Paris,housenumber
35,rue,AUDE,Paris,48.826745,2.332594,Paris,housenumber
7,avenue,SUFFREN,Paris,48.85679,2.292377,Paris,housenumber
64,rue,BARGUE,Paris,48.83722,2.31014,Paris,housenumber
102,rue,MEAUX,Paris,48.885165,2.380619,Paris,housenumber
10,avenue,VICTOR-HUGO,Paris,48.872782,2.292366,Paris,housenumber
17,rue,ROMAINVILLE,Paris,48.876625,2.399641,Paris,housenumber
28,rue,GOUTTE D'OR,Paris,48.885087,2.352404,Paris,housenumber
87,rue,ASSAS,Paris,48.842095,2.335206,Paris,housenumber
51,rue,ALBERT,Paris,48.825973,2.371571,Paris,housenumber
7,rue,MEAUX,Paris,48.878677,2.370859,Paris,housenumber
29,rue,BRUXELLES,Paris,48.882694,2.328014,Paris,housenumber
11,rue,SAULES,Paris,48.887989,2.339671,Paris,housenumber
2,passage,DUDOUY,Paris,48.862345,2.380286,Paris,housenumber
8,rue,DESGENETTES,Paris,48.861701,2.309648,Paris,housenumber
21,rue,CLAUDE POUILLET,Paris,48.884104,2.314731,Paris,housenumber
25,rue,CASIMIR PÉRIER,Paris,48.857461,2.319064,Paris,housenumber
137,rue,PICPUS,Paris,48.836122,2.403085,Paris,housenumber
13,rue,BOURG-TIBOURG,Paris,48.857016,2.355782,Paris,housenumber
19,rue,LAMBERT,Paris,48.888907,2.345296,Paris,housenumber
21,rue,F FRANCS-BOURGEOIS,Paris,48.856811,2.36294,Paris,housenumber
11,rue,LOUVRE,Paris,48.862447,2.341449,Paris,housenumber
26,rue,ARCADE,Paris,48.872502,2.324044,Paris,housenumber
24,rue,MONTPENSIER,Paris,48.865144,2.337038,Paris,housenumber
23,rue,LAHIRE,Paris,48.829344,2.365598,Paris,housenumber
35,rue,LACROIX,Paris,48.890918,2.323072,Paris,housenumber
3,rue,JOSÉPHINE,Paris,48.895941,2.337612,Paris,housenumber
137,boulevard,HAUSSMANN,Paris,48.875014,2.312697,Paris,housenumber
3,rue,SAINTE-FOY,Paris,48.868487,2.350083,Paris,housenumber
4,rue,BRÉMONTIER,Paris,48.884233,2.304763,Paris,housenumber
147,rue,BELLEVILLE,Paris,48.875477,2.390187,Paris,housenumber
13,rue,SIAM,Paris,48.86217,2.274652,Paris,housenumber
219,rue,FAUBOURG SAINT-ANTOINE,Paris,48.850523,2.383485,Paris,housenumber
88,rue,NOLLET,Paris,48.887884,2.319918,Paris,housenumber
10,rue,JEAN BOLOGNE,Paris,48.857029,2.28033,Paris,housenumber
11,rue,BOINOD,Paris,48.89276,2.350337,Paris,housenumber
282,rue,SAINT-HONORÉ,Paris,48.864564,2.332907,Paris,housenumber
8,rue,CAPRON,Paris,48.885152,2.327908,Paris,housenumber
21,rue,BISSON,Paris,48.870675,2.380694,Paris,housenumber
7,rue,POISSY,Paris,48.849818,2.353205,Paris,housenumber
183,rue,FAUBOURG SAINT-ANTOINE,Paris,48.850534,2.381323,Paris,housenumber
5,passage,DULAC,Paris,48.852213,2.390557,Paris,housenumber
11,rue,MANSART,Paris,48.882085,2.332678,Paris,housenumber
94,rue,MEAUX,Paris,48.884903,2.379932,Paris,housenumber
39,quai,ORSAY,Paris,48.862364,2.311392,Paris,housenumber
25,rue,VIEUX-COLOMBIER,Paris,48.851908,2.329926,Paris,housenumber
11,rue,ASTORG,Paris,48.872845,2.319382,Paris,housenumber
3,passage,SAULNIER,Paris,48.856987,2.373592,Paris,housenumber
33,rue,BERGÈRE,Paris,48.872539,2.343802,Paris,housenumber
1,rue,FÉLICIEN DAVID,Paris,48.85109,2.276016,Paris,housenumber
5,passage,BRIE,Paris,48.880795,2.372372,Paris,housenumber
35,rue,CLEF,Paris,48.857099,2.306353,Paris,housenumber
24,rue,SAINT-DENIS,Paris,48.859846,2.348189,Paris,housenumber
21,boulevard,SAINT-GERMAIN,Paris,48.849345,2.35317,Paris,housenumber
50,rue,CHALON,Paris,48.845549,2.374942,Paris,housenumber
16,rue,ÉCHAUDÉ,Paris,48.854132,2.336138,Paris,housenumber
25,rue,BEZOUT,Paris,48.82886,2.330878,Paris,housenumber
223,rue,ALÉSIA,Paris,48.83211,2.312875,Paris,housenumber
237,boulevard,SAINT-GERMAIN,Paris,48.861002,2.320519,Paris,housenumber
10,passage,CHAMP-MARIE,Paris,48.896181,2.33786,Paris,housenumber
120,rue,POMPE,Paris,48.866772,2.280403,Paris,housenumber
91,boulevard,BRUNE,Paris,48.825974,2.314061,Paris,housenumber
55,rue,FRANÇOIS Ier,Paris,48.869832,2.301604,Paris,housenumber
80,avenue,St-OUEN,Paris,48.892219,2.327346,Paris,housenumber
82,rue,LAUGIER,Paris,48.884695,2.291712,Paris,housenumber
18,rue,MILTON,Paris,48.878139,2.341129,Paris,housenumber
7,passage,ALPHAN,Paris,48.831863,2.37086,Paris,housenumber
20,rue,LAGNY,Paris,48.848758,2.401303,Paris,housenumber
1,rue,DARCY,Paris,48.869736,2.406028,Paris,housenumber
1,rue,CANIVET,Paris,48.850101,2.334654,Paris,housenumber
33,rue,MOUFFETARD,Paris,48.843862,2.34945,Paris,housenumber
8,avenue,PHILIPPE-AUGUSTE,Paris,48.849898,2.395211,Paris,housenumber
22,rue,CHINE,Paris,48.867976,2.398432,Paris,housenumber
14,boulevard,SAINT-DENIS,Paris,48.869538,2.354025,Paris,housenumber
99,rue,SAINT-HONORÉ,Paris,48.861308,2.343022,Paris,housenumber
33,rue,LANTIEZ,Paris,48.895379,2.324027,Paris,housenumber
18,avenue,MESSINE,Paris,48.876274,2.313621,Paris,housenumber
129,rue,VERCINGÉTORIX,Paris,48.833641,2.312883,Paris,housenumber
35,rue,BÉNARD,Paris,48.831812,2.321665,Paris,housenumber
44,rue,BOULAINVILLIERS,Paris,48.855762,2.275182,Paris,housenumber
8,rue,SÉVIGNÉ,Paris,48.855509,2.3621,Paris,housenumber
53,rue,MARTYRS,Paris,48.880301,2.340241,Paris,housenumber
95,boulevard,PEREIRE,Paris,48.886332,2.30099,Paris,housenumber
1,rue,RENARD,Paris,48.857717,2.351413,Paris,housenumber
17,rue,DOUDEAUVILLE,Paris,48.888801,2.357942,Paris,housenumber
24,quai,LOUVRE,Paris,48.858952,2.340816,Paris,housenumber
17,rue,EURE,Paris,48.832727,2.321381,Paris,housenumber
46,rue,BARGUE,Paris,48.837751,2.309037,Paris,housenumber
4,passage,RUELLE,Paris,48.886747,2.358775,Paris,housenumber
21,rue,DAUPHINE,Paris,48.855196,2.339825,Paris,housenumber
5,rue,THÉNARD,Paris,48.849929,2.346147,Paris,housenumber
3,impasse,ÉGLISE,Paris,48.843311,2.291375,Paris,housenumber
14,rue,HÉLIOPOLIS,Paris,48.885087,2.293872,Paris,housenumber
8,rue,CHEMIN-VERT,Paris,48.857297,2.369664,Paris,housenumber
15,passage,BOURNISIEN,Paris,48.82431,2.368533,Paris,housenumber
5,rue,LAFFITTE,Paris,48.872139,2.33726,Paris,housenumber
95,boulevard,MONTMORENCY,Paris,48.848812,2.260889,Paris,housenumber
19,rue,VANEAU,Paris,48.853348,2.319434,Paris,housenumber
130,rue,PELLEPORT,Paris,48.87069,2.399468,Paris,housenumber
4,rue,MARBEAU,Paris,48.873983,2.281476,Paris,housenumber
14,rue,HUCHETTE,Paris,48.852949,2.345946,Paris,housenumber
106,rue,SAINT-MARTIN,Paris,48.860285,2.351055,Paris,housenumber
114,avenue,SUFFREN,Paris,48.84859,2.304686,Paris,housenumber
96,rue,FAUBOURG SAINT-ANTOINE,Paris,48.851274,2.375764,Paris,housenumber
5,avenue,VAUGIRARD,Paris,48.84886,2.340203,Paris,housenumber
1,rue,DELBET,Paris,48.83006,2.320003,Paris,housenumber
32,rue,BIENFAISANCE,Paris,48.876648,2.316426,Paris,housenumber
5,rue,JUGE,Paris,48.850332,2.291792,Paris,housenumber
2,rue,CRUSSOL,Paris,48.863759,2.366762,Paris,housenumber
26,boulevard,SÉBASTOPOL,Paris,48.860803,2.349725,Paris,housenumber
52,rue,PASCAL,Paris,48.835047,2.347925,Paris,housenumber
50,rue,BOULAINVILLIERS,Paris,48.856117,2.274957,Paris,housenumber
79,rue,RÉBEVAL,Paris,48.874307,2.381903,Paris,housenumber
81,rue,MAUBEUGE,Paris,48.880379,2.351572,Paris,housenumber
25,rue,POMPE,Paris,48.860175,2.274978,Paris,housenumber
15,rue,FROISSART,Paris,48.861791,2.364884,Paris,housenumber
275,rue,PYRÉNÉES,Paris,48.868141,2.395776,Paris,housenumber
18,rue,COLONEL OUDOT,Paris,48.83705,2.407401,Paris,housenumber
44,rue,FAUBOURG MONTMARTRE,Paris,48.87465,2.341656,Paris,housenumber
49,boulevard,CLICHY,Paris,48.883177,2.333921,Paris,housenumber
143,rue,SAINT-CHARLES,Paris,48.843217,2.282727,Paris,housenumber
36,rue,TURBIGO,Paris,48.864661,2.35303,Paris,housenumber
2,rue,RATAUD,Paris,48.842433,2.346818,Paris,housenumber
113,rue,VAUGIRARD,Paris,48.844827,2.319498,Paris,housenumber
35,rue,NAVIER,Paris,48.895689,2.325302,Paris,housenumber
13,boulevard,VOLTAIRE,Paris,48.865832,2.366963,Paris,housenumber
132,rue,TEMPLE,Paris,48.863502,2.358472,Paris,housenumber
6,rue,PASSY,Paris,48.858485,2.283824,Paris,housenumber
55,rue,SAINTONGE,Paris,48.864,2.365031,Paris,housenumber
113,boulevard,SÉBASTOPOL,Paris,48.867196,2.352835,Paris,housenumber
4,passage,ORTEAUX,Paris,48.893804,2.375857,Paris,housenumber
2,rue,CASIMIR DELAVIGNE,Paris,48.850902,2.3394,Paris,housenumber
127,rue,OURCQ,Paris,48.893888,2.372553,Paris,housenumber
35,rue,PÉPINIÈRE,Paris,48.874854,2.320662,Paris,housenumber
9,rue,AUGER,Paris,48.851281,2.399511,Paris,housenumber
50,rue,LEPIC,Paris,48.886378,2.33411,Paris,housenumber
7,cité,GAILLARD,Paris,49.410231,1.077569,Sotteville-lès-Rouen,housenumber
1,passage,VIOLET,Paris,48.856524,2.381373,Paris,housenumber
55,rue,SAINT-SÉBASTIEN,Paris,48.862289,2.373136,Paris,housenumber
63,rue,MONTPARNASSE,Paris,48.841811,2.325451,Paris,housenumber
53,rue,BOIS,Paris,48.878722,2.400885,Paris,housenumber
18,rue,MONTPARNASSE,Paris,48.844719,2.327685,Paris,housenumber
68,rue,FAUBOURG MONTMARTRE,Paris,48.876451,2.33984,Paris,housenumber
21,rue,LONDRES,Paris,48.8772,2.328679,Paris,housenumber
64,rue,GRENÉTA,Paris,48.865642,2.347389,Paris,housenumber
46,rue,ARGOUT,Paris,48.865901,2.343663,Paris,housenumber
8,rue,SAINTS-PÈRES,Paris,48.85719,2.332297,Paris,housenumber
36,rue,SAINT-JACQUES,Paris,48.850333,2.34514,Paris,housenumber
186,rue,FAUBOURG SAINT-MARTIN,Paris,48.878449,2.36221,Paris,housenumber
14,rue,FRANÇOIS MIRON,Paris,48.855831,2.355508,Paris,housenumber
2,rue,HOTEL DE VILLE,Paris,48.853344,2.359069,Paris,housenumber
15,impasse,MARCÈS,Paris,48.858429,2.374792,Paris,housenumber
39,rue,RETRAIT,Paris,48.869381,2.39326,Paris,housenumber
27,boulevard,HAUSSMANN,Paris,48.872911,2.332443,Paris,housenumber
71,rue,MARTYRS,Paris,48.882343,2.33956,Paris,housenumber
58,boulevard,VOLTAIRE,Paris,48.862758,2.371473,Paris,housenumber
16,rue,MOURAUD,Paris,48.855202,2.407783,Paris,housenumber
108,rue,LECOURBE,Paris,48.842833,2.303057,Paris,housenumber
69,rue,RIGOLES,Paris,48.873193,2.39118,Paris,housenumber
5,rue,CLOTAIRE,Paris,48.845555,2.344672,Paris,housenumber
43,rue,ROI DE SICILE,Paris,48.8568,2.355956,Paris,housenumber
2,rue,CHEVALERET,Paris,48.825218,2.378251,Paris,housenumber
10,rue,RAMEY,Paris,48.887746,2.347283,Paris,housenumber
5,rue,LEPIC,Paris,48.884228,2.332998,Paris,housenumber
55,rue,CHEMIN-VERT,Paris,48.859626,2.376268,Paris,housenumber
4,rue,CONSTANCE,Paris,48.885346,2.333657,Paris,housenumber
43,rue,PIXÉRÉCOURT,Paris,48.872528,2.395989,Paris,housenumber
11,passage,UNION,Paris,48.856651,2.305225,Paris,housenumber
20,rue,GLACIÈRE,Paris,48.83597,2.345087,Paris,housenumber
1,rue,RONDONNEAUX,Paris,48.863309,2.399511,Paris,housenumber
105,rue,CLAUDE DECAEN,Paris,48.839151,2.395771,Paris,housenumber
19,cité,DUPONT,Paris,48.863043,2.381162,Paris,housenumber
12,rue,GINOUX,Paris,48.848335,2.28607,Paris,housenumber
42,rue,MEAUX,Paris,48.880857,2.372994,Paris,housenumber
93,rue,JAVEL,Paris,48.844276,2.285222,Paris,housenumber
18,rue,LACHARRIÈRE,Paris,48.861813,2.37787,Paris,housenumber
153,avenue,MAINE,Paris,48.833615,2.324771,Paris,housenumber
3,rue,FAIDHERBE,Paris,48.850832,2.384071,Paris,housenumber
3,rue,JESSAINT,Paris,48.884791,2.357922,Paris,housenumber
23,rue,SERPENTE,Paris,48.852236,2.342136,Paris,housenumber
51,rue,ACACIAS,Paris,48.878129,2.293659,Paris,housenumber
133,boulevard,MURAT,Paris,48.83713,2.260674,Paris,housenumber
3,rue,BABYLONE,Paris,48.851646,2.324552,Paris,housenumber
103,rue,ORDENER,Paris,48.892157,2.345806,Paris,housenumber
5,rue,LA VIEUVILLE,Paris,48.884683,2.338945,Paris,housenumber
6,impasse,DELÉPINE,Paris,48.853093,2.3891,Paris,housenumber
48,rue,FAUBOURG DU TEMPLE,Paris,48.869507,2.369692,Paris,housenumber
252,rue,CHARENTON,Paris,48.837766,2.390497,Paris,housenumber
2,rue,BOURGON,Paris,48.823026,2.357423,Paris,housenumber
6,rue,GAGER GABILLOT,Paris,48.837794,2.306606,Paris,housenumber
2,rue,TOCQUEVILLE,Paris,48.881876,2.31481,Paris,housenumber
41,rue,DAVY,Paris,48.891743,2.322793,Paris,housenumber
13,rue,AMBROISE PARÉ,Paris,48.881928,2.351849,Paris,housenumber
70,rue,BELLEVILLE,Paris,48.873479,2.383622,Paris,housenumber
54,rue,BARGUE,Paris,48.837515,2.309529,Paris,housenumber
4,rue,CHERCHE-MIDI,Paris,48.851634,2.329329,Paris,housenumber
21,rue,PIERRE LESCOT,Paris,48.86351,2.348873,Paris,housenumber
246,rue,CHARENTON,Paris,48.838045,2.390157,Paris,housenumber
25,rue,ALÉSIA,Paris,48.827553,2.333615,Paris,housenumber
55,rue,RENNEQUIN,Paris,48.883363,2.295699,Paris,housenumber
124,boulevard,MASSÉNA,Paris,48.820142,2.36425,Paris,housenumber
25,rue,LUBECK,Paris,48.865352,2.292361,Paris,housenumber
262,boulevard,VOLTAIRE,Paris,48.850281,2.392308,Paris,housenumber
235,rue,CHARENTON,Paris,48.837648,2.390961,Paris,housenumber
7,rue,POUCHET,Paris,48.892086,2.318811,Paris,housenumber
34,rue,LETORT,Paris,48.89555,2.343454,Paris,housenumber
9,rue,CLICHY,Paris,48.877096,2.330594,Paris,housenumber
42,rue,TROUSSEAU,Paris,48.852173,2.379111,Paris,housenumber
4,rue,COTTE,Paris,48.848259,2.376916,Paris,housenumber
20,boulevard,CAPUCINES,Paris,48.870225,2.328794,Paris,housenumber
21,avenue,IÉNA,Paris,48.866476,2.294671,Paris,housenumber
43,rue,PETITS-CHAMPS,Paris,48.866904,2.33599,Paris,housenumber
12,passage,TOURNUS,Paris,48.881228,2.29728,Paris,housenumber
10,rue,BERNE,Paris,48.88064,2.323568,Paris,housenumber
4,place,RIVOLI,Paris,48.855254,2.361406,Paris,housenumber
25,rue,ANCIENNE COMÉDIE,Paris,48.852617,2.33892,Paris,housenumber
22,rue,TROIS BORNES,Paris,48.867096,2.374194,Paris,housenumber
27,rue,FONTAINE,Paris,48.88244,2.333387,Paris,housenumber
10,rue,PÉTION,Paris,48.858661,2.381683,Paris,housenumber
16,place,VENDOME,Paris,48.867298,2.330298,Paris,housenumber
34,rue,MORET,Paris,48.867917,2.37875,Paris,housenumber
25,rue,LEVERT,Paris,48.874555,2.391482,Paris,housenumber
43,rue,ESQUIROL,Paris,48.835864,2.359728,Paris,housenumber
23,rue,CHAUSSÉE D'ANTIN,Paris,48.873683,2.33283,Paris,housenumber
107,rue,DAMES,Paris,48.882839,2.317718,Paris,housenumber
7,rue,LAUZIN,Paris,48.875441,2.378453,Paris,housenumber
8,rue,ORIENT,Paris,48.887178,2.334749,Paris,housenumber
8,impasse,CANART,Paris,48.846061,2.408465,Paris,housenumber
4,rue,EXPOSITION,Paris,48.858154,2.302544,Paris,housenumber
101,rue,BOILEAU,Paris,48.839651,2.261682,Paris,housenumber
192,rue,FAUBOURG SAINT-DENIS,Paris,48.881371,2.358289,Paris,housenumber
40,rue,FÉLICITÉ,Paris,48.887619,2.311323,Paris,housenumber
42,rue,MONTPARNASSE,Paris,48.842847,2.326097,Paris,housenumber
18,rue,LOUIS DAVID,Paris,48.861364,2.280608,Paris,housenumber
2,rue,LEGRAVEREND,Paris,48.846322,2.375731,Paris,housenumber
97,rue,LEGENDRE,Paris,48.888307,2.321207,Paris,housenumber
15,rue,COMÉTE,Paris,48.858877,2.309169,Paris,housenumber
183,avenue,CHOISY,Paris,48.829043,2.357449,Paris,housenumber
21,quai,MALAQUAIS,Paris,48.858076,2.333484,Paris,housenumber
22,rue,CLER,Paris,48.857906,2.305722,Paris,housenumber
106,rue,PYRÉNÉES,Paris,48.856271,2.405054,Paris,housenumber
1,rue,DESBORDES-VALMORE,Paris,48.861592,2.278258,Paris,housenumber
66,rue,PASSY,Paris,48.858016,2.277676,Paris,housenumber
12,rue,NESLES,Paris,48.855349,2.338799,Paris,housenumber
10,rue,BUZELIN,Paris,48.890494,2.363986,Paris,housenumber
101,avenue,CHOISY,Paris,48.824858,2.360769,Paris,housenumber
1,rue,GÉNÉRAL BRUNET,Paris,48.879843,2.389646,Paris,housenumber
34,rue,RONDEAUX,Paris,48.862532,2.398436,Paris,housenumber
200,rue,CHATEAU DES RENTIERS,Paris,48.831257,2.361037,Paris,housenumber
3,place,DANUBE,Paris,48.882243,2.393084,Paris,housenumber
31,rue,RENDEZ-VOUS,Paris,48.845729,2.40298,Paris,housenumber
1,rue,MONSIEUR LE PRINCE,Paris,48.851732,2.338983,Paris,housenumber
1,rue,ROHAN,Paris,48.862959,2.335231,Paris,housenumber
1,passage,MONCEY,Paris,48.889817,2.325982,Paris,housenumber
2,rue,CUGNOT,Paris,48.891103,2.365454,Paris,housenumber
364,rue,SAINT-HONORÉ,Paris,48.867013,2.327777,Paris,housenumber
20,rue,BOIS-LE-VENT,Paris,48.857677,2.27593,Paris,housenumber
64,rue,CHAPELLE,Paris,48.894732,2.359607,Paris,housenumber
85,avenue,SAINT-MANDE,Paris,48.844676,2.408011,Paris,housenumber
49,rue,MICHEL BIZOT,Paris,48.835065,2.401155,Paris,housenumber
16,rue,ROCHEBRUNE,Paris,48.861111,2.379657,Paris,housenumber
3,impasse,SAINT-CLAUDE,Paris,48.860396,2.365628,Paris,housenumber
14,sentier,FALAISES,Paris,48.8691,2.345878,Paris,housenumber
35,rue,ÉCHIQUIER,Paris,48.871609,2.349671,Paris,housenumber
8,rue,GÉRANDO,Paris,48.882429,2.345928,Paris,housenumber
3,rue,ALEXANDRE CABANEL,Paris,48.848387,2.302818,Paris,housenumber
42,avenue,GABRIEL,Paris,48.8697,2.313271,Paris,housenumber
16,rue,CLICHY,Paris,48.878381,2.330067,Paris,housenumber
21,avenue,ANTIN,Paris,48.869355,2.333775,Paris,housenumber
4,avenue,MESSINE,Paris,48.875601,2.315283,Paris,housenumber
312,rue,VAUGIRARD,Paris,48.837677,2.297052,Paris,housenumber
61,rue,PROVENCE,Paris,48.874225,2.333871,Paris,housenumber
37,rue,FAUBOURG SAINT-DENIS,Paris,48.871159,2.353276,Paris,housenumber
98,boulevard,KELLERMANN,Paris,48.819809,2.345838,Paris,housenumber
1,rue,SAINTE-CLAIRE-DEVILLE,Paris,48.844061,2.387005,Paris,housenumber
39,rue,SEDAINE,Paris,48.856877,2.374339,Paris,housenumber
55,rue,GOUTTE D'OR,Paris,48.885031,2.351109,Paris,housenumber
57,rue,PLAINE,Paris,48.850221,2.404216,Paris,housenumber
4,rue,ESPÉRANCE,Paris,48.827188,2.348365,Paris,housenumber
47,rue,GAY-LUSSAC,Paris,48.841748,2.343488,Paris,housenumber
27,rue,CLAUDE LORRAIN,Paris,48.841066,2.261298,Paris,housenumber
1,rue,JULES CÉSAR,Paris,48.848879,2.368391,Paris,housenumber
6,rue,ROCHECHOUART,Paris,48.87682,2.344563,Paris,housenumber
81,rue,RAMBUTEAU,Paris,48.862176,2.349018,Paris,housenumber
20,rue,THÉRÈSE,Paris,48.866528,2.334542,Paris,housenumber
152,boulevard,HAUSSMANN,Paris,48.875296,2.311649,Paris,housenumber
53,rue,CROIX-St-SIMON,Paris,48.85535,2.409463,Paris,housenumber
6,rue,SAUVAL,Paris,48.86179,2.342482,Paris,housenumber
10,rue,VAUGIRARD,Paris,48.849076,2.339722,Paris,housenumber
11,boulevard,CLICHY,Paris,48.882014,2.338486,Paris,housenumber
15,rue,MOUZAIA,Paris,48.880268,2.392438,Paris,housenumber
7,rue,LACORDAIRE,Paris,48.843858,2.284252,Paris,housenumber
102,avenue,TERNES,Paris,48.880675,2.286199,Paris,housenumber
70,rue,ASSOMPTION,Paris,48.855017,2.268409,Paris,housenumber
14,rue,QUATRE-VENTS,Paris,48.851804,2.33778,Paris,housenumber
69,rue,FAUBOURG ST-HONORÉ,Paris,48.871395,2.315202,Paris,housenumber
7,cité,JARRY,Paris,48.862257,2.383013,Paris,housenumber
36,rue,VOLGA,Paris,48.852558,2.407403,Paris,housenumber
70,rue,VERRERIE,Paris,48.858659,2.351202,Paris,housenumber
2,rue,GAILLON,Paris,48.867708,2.333836,Paris,housenumber
22,rue,MATIGNON,Paris,48.871228,2.313917,Paris,housenumber
9,rue,CAMPO-FORMIO,Paris,48.83422,2.360172,Paris,housenumber
1,passage,ST-PIERRE AMELOT,Paris,48.862132,2.367733,Paris,housenumber
2,rue,SAINT- JÉROME,Paris,48.886535,2.355013,Paris,housenumber
11,rue,SÉVIGNÉ,Paris,48.856075,2.362294,Paris,housenumber
