,candidate,date,pct_trend_adjusted,state,cycle,party,pct_estimate,hi,lo
132,Joseph R. Biden Jr.,2020-08-29,38.61751,Alabama,2020,,,,
133,Donald Trump,2020-08-29,56.66632,Alabama,2020,,,,
134,Joseph R. Biden Jr.,2020-08-28,38.6725,Alabama,2020,,,,
135,Donald Trump,2020-08-28,56.58497,Alabama,2020,,,,
136,Joseph R. Biden Jr.,2020-08-27,38.56325,Alabama,2020,,,,
137,Donald Trump,2020-08-27,56.79459,Alabama,2020,,,,
138,Joseph R. Biden Jr.,2020-08-26,38.56044,Alabama,2020,,,,
139,Donald Trump,2020-08-26,56.79101,Alabama,2020,,,,
140,Joseph R. Biden Jr.,2020-08-25,38.91346,Alabama,2020,,,,
141,Donald Trump,2020-08-25,56.7649,Alabama,2020,,,,
142,Joseph R. Biden Jr.,2020-08-24,38.9345,Alabama,2020,,,,
143,Donald Trump,2020-08-24,56.74566,Alabama,2020,,,,
144,Joseph R. Biden Jr.,2020-08-23,38.84926,Alabama,2020,,,,
145,Donald Trump,2020-08-23,56.77657,Alabama,2020,,,,
146,Joseph R. Biden Jr.,2020-08-22,38.79379,Alabama,2020,,,,
147,Donald Trump,2020-08-22,56.78541,Alabama,2020,,,,
148,Joseph R. Biden Jr.,2020-08-21,38.85079,Alabama,2020,,,,
149,Donald Trump,2020-08-21,56.95717,Alabama,2020,,,,
150,Joseph R. Biden Jr.,2020-08-20,38.91864,Alabama,2020,,,,
151,Donald Trump,2020-08-20,57.12712,Alabama,2020,,,,
152,Joseph R. Biden Jr.,2020-08-19,38.89732,Alabama,2020,,,,
153,Donald Trump,2020-08-19,57.21159,Alabama,2020,,,,
154,Joseph R. Biden Jr.,2020-08-18,38.93748,Alabama,2020,,,,
155,Donald Trump,2020-08-18,57.22066,Alabama,2020,,,,
156,Joseph R. Biden Jr.,2020-08-17,38.96464,Alabama,2020,,,,
157,Donald Trump,2020-08-17,57.22438,Alabama,2020,,,,
158,Joseph R. Biden Jr.,2020-08-16,38.90641,Alabama,2020,,,,
159,Donald Trump,2020-08-16,57.24234,Alabama,2020,,,,
160,Joseph R. Biden Jr.,2020-08-15,38.93313,Alabama,2020,,,,
161,Donald Trump,2020-08-15,56.97794,Alabama,2020,,,,
162,Joseph R. Biden Jr.,2020-08-14,38.93307,Alabama,2020,,,,
163,Donald Trump,2020-08-14,56.97776,Alabama,2020,,,,
164,Joseph R. Biden Jr.,2020-08-13,38.7906,Alabama,2020,,,,
165,Donald Trump,2020-08-13,56.95347,Alabama,2020,,,,
166,Joseph R. Biden Jr.,2020-08-12,38.58107,Alabama,2020,,,,
167,Donald Trump,2020-08-12,56.87304,Alabama,2020,,,,
168,Joseph R. Biden Jr.,2020-08-11,38.60927,Alabama,2020,,,,
169,Donald Trump,2020-08-11,56.84695,Alabama,2020,,,,
170,Joseph R. Biden Jr.,2020-08-10,38.53507,Alabama,2020,,,,
171,Donald Trump,2020-08-10,56.70645,Alabama,2020,,,,
172,Joseph R. Biden Jr.,2020-08-09,38.44164,Alabama,2020,,,,
173,Donald Trump,2020-08-09,56.74491,Alabama,2020,,,,
174,Joseph R. Biden Jr.,2020-08-08,38.44512,Alabama,2020,,,,
175,Donald Trump,2020-08-08,56.74367,Alabama,2020,,,,
176,Joseph R. Biden Jr.,2020-08-07,38.44512,Alabama,2020,,,,
177,Donald Trump,2020-08-07,56.74367,Alabama,2020,,,,
178,Joseph R. Biden Jr.,2020-08-06,38.48676,Alabama,2020,,,,
179,Donald Trump,2020-08-06,56.8285,Alabama,2020,,,,
180,Joseph R. Biden Jr.,2020-08-05,38.62354,Alabama,2020,,,,
181,Donald Trump,2020-08-05,56.98926,Alabama,2020,,,,
182,Joseph R. Biden Jr.,2020-08-04,38.69969,Alabama,2020,,,,
183,Donald Trump,2020-08-04,56.8861,Alabama,2020,,,,
184,Joseph R. Biden Jr.,2020-08-03,39.93568,Alabama,2020,,,,
185,Donald Trump,2020-08-03,56.3838,Alabama,2020,,,,
186,Joseph R. Biden Jr.,2020-08-02,39.7635,Alabama,2020,,,,
187,Donald Trump,2020-08-02,56.25692,Alabama,2020,,,,
188,Joseph R. Biden Jr.,2020-08-01,39.76196,Alabama,2020,,,,
189,Donald Trump,2020-08-01,56.29106,Alabama,2020,,,,
190,Joseph R. Biden Jr.,2020-07-31,39.76196,Alabama,2020,,,,
191,Donald Trump,2020-07-31,56.29106,Alabama,2020,,,,
192,Joseph R. Biden Jr.,2020-07-30,39.61344,Alabama,2020,,,,
193,Donald Trump,2020-07-30,56.10118,Alabama,2020,,,,
194,Joseph R. Biden Jr.,2020-07-29,39.66921,Alabama,2020,,,,
195,Donald Trump,2020-07-29,56.11136,Alabama,2020,,,,
196,Joseph R. Biden Jr.,2020-07-28,39.76757,Alabama,2020,,,,
197,Donald Trump,2020-07-28,56.11004,Alabama,2020,,,,
198,Joseph R. Biden Jr.,2020-07-27,39.70448,Alabama,2020,,,,
199,Donald Trump,2020-07-27,56.07613,Alabama,2020,,,,
200,Joseph R. Biden Jr.,2020-07-26,39.71048,Alabama,2020,,,,
201,Donald Trump,2020-07-26,56.14587,Alabama,2020,,,,
202,Joseph R. Biden Jr.,2020-07-25,39.6885,Alabama,2020,,,,
203,Donald Trump,2020-07-25,56.12971,Alabama,2020,,,,
204,Joseph R. Biden Jr.,2020-07-24,39.67952,Alabama,2020,,,,
205,Donald Trump,2020-07-24,56.12854,Alabama,2020,,,,
206,Joseph R. Biden Jr.,2020-07-23,39.62965,Alabama,2020,,,,
207,Donald Trump,2020-07-23,56.15191,Alabama,2020,,,,
208,Joseph R. Biden Jr.,2020-07-22,39.47981,Alabama,2020,,,,
209,Donald Trump,2020-07-22,56.10134,Alabama,2020,,,,
210,Joseph R. Biden Jr.,2020-07-21,39.92621,Alabama,2020,,,,
211,Donald Trump,2020-07-21,55.53509,Alabama,2020,,,,
212,Joseph R. Biden Jr.,2020-07-20,39.92821,Alabama,2020,,,,
213,Donald Trump,2020-07-20,55.53634,Alabama,2020,,,,
214,Joseph R. Biden Jr.,2020-07-19,39.95937,Alabama,2020,,,,
215,Donald Trump,2020-07-19,55.49152,Alabama,2020,,,,
216,Joseph R. Biden Jr.,2020-07-18,39.90594,Alabama,2020,,,,
217,Donald Trump,2020-07-18,55.38413,Alabama,2020,,,,
218,Joseph R. Biden Jr.,2020-07-17,39.86646,Alabama,2020,,,,
219,Donald Trump,2020-07-17,55.38838,Alabama,2020,,,,
220,Joseph R. Biden Jr.,2020-07-16,39.86694,Alabama,2020,,,,
221,Donald Trump,2020-07-16,55.37033,Alabama,2020,,,,
222,Joseph R. Biden Jr.,2020-07-15,39.85823,Alabama,2020,,,,
223,Donald Trump,2020-07-15,55.38335,Alabama,2020,,,,
224,Joseph R. Biden Jr.,2020-07-14,39.93465,Alabama,2020,,,,
225,Donald Trump,2020-07-14,55.37132,Alabama,2020,,,,
226,Joseph R. Biden Jr.,2020-07-13,39.89526,Alabama,2020,,,,
227,Donald Trump,2020-07-13,55.3835,Alabama,2020,,,,
228,Joseph R. Biden Jr.,2020-07-12,40.05635,Alabama,2020,,,,
229,Donald Trump,2020-07-12,55.39809,Alabama,2020,,,,
230,Joseph R. Biden Jr.,2020-07-11,40.07582,Alabama,2020,,,,
231,Donald Trump,2020-07-11,55.38868,Alabama,2020,,,,
232,Joseph R. Biden Jr.,2020-07-10,40.05813,Alabama,2020,,,,
233,Donald Trump,2020-07-10,55.40886,Alabama,2020,,,,
234,Joseph R. Biden Jr.,2020-07-09,39.49619,Alabama,2020,,,,
235,Donald Trump,2020-07-09,54.70234,Alabama,2020,,,,
236,Joseph R. Biden Jr.,2020-07-08,39.40288,Alabama,2020,,,,
237,Donald Trump,2020-07-08,54.67959,Alabama,2020,,,,
238,Joseph R. Biden Jr.,2020-07-07,39.5967,Alabama,2020,,,,
239,Donald Trump,2020-07-07,54.84164,Alabama,2020,,,,
240,Joseph R. Biden Jr.,2020-07-06,39.55921,Alabama,2020,,,,
241,Donald Trump,2020-07-06,54.82105,Alabama,2020,,,,
242,Joseph R. Biden Jr.,2020-07-05,39.56384,Alabama,2020,,,,
243,Donald Trump,2020-07-05,54.81922,Alabama,2020,,,,
244,Joseph R. Biden Jr.,2020-07-04,39.5612,Alabama,2020,,,,
245,Donald Trump,2020-07-04,54.8194,Alabama,2020,,,,
246,Joseph R. Biden Jr.,2020-07-03,39.5612,Alabama,2020,,,,
247,Donald Trump,2020-07-03,54.81928,Alabama,2020,,,,
248,Joseph R. Biden Jr.,2020-07-02,39.56585,Alabama,2020,,,,
249,Donald Trump,2020-07-02,54.81054,Alabama,2020,,,,
250,Joseph R. Biden Jr.,2020-07-01,39.53895,Alabama,2020,,,,
251,Donald Trump,2020-07-01,54.78703,Alabama,2020,,,,
252,Joseph R. Biden Jr.,2020-06-30,39.53128,Alabama,2020,,,,
253,Donald Trump,2020-06-30,54.75846,Alabama,2020,,,,
254,Joseph R. Biden Jr.,2020-06-29,39.38216,Alabama,2020,,,,
255,Donald Trump,2020-06-29,54.67665,Alabama,2020,,,,
256,Joseph R. Biden Jr.,2020-06-28,39.49397,Alabama,2020,,,,
257,Donald Trump,2020-06-28,54.73372,Alabama,2020,,,,
258,Joseph R. Biden Jr.,2020-06-27,39.49397,Alabama,2020,,,,
259,Donald Trump,2020-06-27,54.73372,Alabama,2020,,,,
260,Joseph R. Biden Jr.,2020-06-26,39.52815,Alabama,2020,,,,
261,Donald Trump,2020-06-26,54.71508,Alabama,2020,,,,
262,Joseph R. Biden Jr.,2020-06-25,39.43473,Alabama,2020,,,,
263,Donald Trump,2020-06-25,54.54489,Alabama,2020,,,,
264,Joseph R. Biden Jr.,2020-06-24,39.44043,Alabama,2020,,,,
265,Donald Trump,2020-06-24,54.90934,Alabama,2020,,,,
266,Joseph R. Biden Jr.,2020-06-23,39.46912,Alabama,2020,,,,
267,Donald Trump,2020-06-23,55.09182,Alabama,2020,,,,
268,Joseph R. Biden Jr.,2020-06-22,39.31334,Alabama,2020,,,,
269,Donald Trump,2020-06-22,55.03316,Alabama,2020,,,,
270,Joseph R. Biden Jr.,2020-06-21,38.76559,Alabama,2020,,,,
271,Donald Trump,2020-06-21,57.19857,Alabama,2020,,,,
272,Joseph R. Biden Jr.,2020-06-20,38.78284,Alabama,2020,,,,
273,Donald Trump,2020-06-20,57.18686,Alabama,2020,,,,
274,Joseph R. Biden Jr.,2020-06-19,38.73467,Alabama,2020,,,,
275,Donald Trump,2020-06-19,57.14979,Alabama,2020,,,,
276,Joseph R. Biden Jr.,2020-06-18,38.80234,Alabama,2020,,,,
277,Donald Trump,2020-06-18,57.13243,Alabama,2020,,,,
278,Joseph R. Biden Jr.,2020-06-17,38.93076,Alabama,2020,,,,
279,Donald Trump,2020-06-17,57.16165,Alabama,2020,,,,
280,Joseph R. Biden Jr.,2020-06-16,38.88362,Alabama,2020,,,,
281,Donald Trump,2020-06-16,57.23239,Alabama,2020,,,,
282,Joseph R. Biden Jr.,2020-06-15,38.71458,Alabama,2020,,,,
283,Donald Trump,2020-06-15,57.33911,Alabama,2020,,,,
284,Joseph R. Biden Jr.,2020-06-14,38.70737,Alabama,2020,,,,
285,Donald Trump,2020-06-14,57.3319,Alabama,2020,,,,
286,Joseph R. Biden Jr.,2020-06-13,38.66259,Alabama,2020,,,,
287,Donald Trump,2020-06-13,57.36686,Alabama,2020,,,,
288,Joseph R. Biden Jr.,2020-06-12,38.68166,Alabama,2020,,,,
289,Donald Trump,2020-06-12,57.72307,Alabama,2020,,,,
290,Joseph R. Biden Jr.,2020-06-11,38.68654,Alabama,2020,,,,
291,Donald Trump,2020-06-11,57.72208,Alabama,2020,,,,
292,Joseph R. Biden Jr.,2020-06-10,38.68334,Alabama,2020,,,,
293,Donald Trump,2020-06-10,57.71926,Alabama,2020,,,,
294,Joseph R. Biden Jr.,2020-06-09,38.66572,Alabama,2020,,,,
295,Donald Trump,2020-06-09,57.74106,Alabama,2020,,,,
296,Joseph R. Biden Jr.,2020-06-08,38.59361,Alabama,2020,,,,
297,Donald Trump,2020-06-08,57.80598,Alabama,2020,,,,
298,Joseph R. Biden Jr.,2020-06-07,38.59055,Alabama,2020,,,,
299,Donald Trump,2020-06-07,57.81376,Alabama,2020,,,,
300,Joseph R. Biden Jr.,2020-06-06,38.6437,Alabama,2020,,,,
301,Donald Trump,2020-06-06,57.92537,Alabama,2020,,,,
302,Joseph R. Biden Jr.,2020-06-05,38.54298,Alabama,2020,,,,
303,Donald Trump,2020-06-05,58.02461,Alabama,2020,,,,
304,Joseph R. Biden Jr.,2020-06-04,38.38034,Alabama,2020,,,,
305,Donald Trump,2020-06-04,58.04017,Alabama,2020,,,,
306,Joseph R. Biden Jr.,2020-06-03,38.33644,Alabama,2020,,,,
307,Donald Trump,2020-06-03,58.13794,Alabama,2020,,,,
308,Joseph R. Biden Jr.,2020-06-02,38.10083,Alabama,2020,,,,
309,Donald Trump,2020-06-02,57.82137,Alabama,2020,,,,
310,Joseph R. Biden Jr.,2020-06-01,38.03936,Alabama,2020,,,,
311,Donald Trump,2020-06-01,57.81593,Alabama,2020,,,,
312,Joseph R. Biden Jr.,2020-05-31,37.95833,Alabama,2020,,,,
313,Donald Trump,2020-05-31,57.86673,Alabama,2020,,,,
314,Joseph R. Biden Jr.,2020-05-30,38.02934,Alabama,2020,,,,
315,Donald Trump,2020-05-30,57.88862,Alabama,2020,,,,
316,Joseph R. Biden Jr.,2020-05-29,38.07817,Alabama,2020,,,,
317,Donald Trump,2020-05-29,57.95419,Alabama,2020,,,,
318,Joseph R. Biden Jr.,2020-05-28,38.07817,Alabama,2020,,,,
319,Donald Trump,2020-05-28,57.95419,Alabama,2020,,,,
320,Joseph R. Biden Jr.,2020-05-27,38.03529,Alabama,2020,,,,
321,Donald Trump,2020-05-27,57.75603,Alabama,2020,,,,
322,Joseph R. Biden Jr.,2020-05-26,38.25752,Alabama,2020,,,,
323,Donald Trump,2020-05-26,57.8667,Alabama,2020,,,,
324,Joseph R. Biden Jr.,2020-05-25,38.11713,Alabama,2020,,,,
325,Donald Trump,2020-05-25,57.83276,Alabama,2020,,,,
326,Joseph R. Biden Jr.,2020-05-24,38.11713,Alabama,2020,,,,
327,Donald Trump,2020-05-24,57.83276,Alabama,2020,,,,
328,Joseph R. Biden Jr.,2020-05-23,38.16854,Alabama,2020,,,,
329,Donald Trump,2020-05-23,57.84563,Alabama,2020,,,,
330,Joseph R. Biden Jr.,2020-05-22,38.15701,Alabama,2020,,,,
331,Donald Trump,2020-05-22,57.87766,Alabama,2020,,,,
332,Joseph R. Biden Jr.,2020-05-21,38.14024,Alabama,2020,,,,
333,Donald Trump,2020-05-21,57.87798,Alabama,2020,,,,
334,Joseph R. Biden Jr.,2020-05-20,38.2851,Alabama,2020,,,,
335,Donald Trump,2020-05-20,57.93423,Alabama,2020,,,,
336,Joseph R. Biden Jr.,2020-05-19,38.30388,Alabama,2020,,,,
337,Donald Trump,2020-05-19,58.02181,Alabama,2020,,,,
338,Joseph R. Biden Jr.,2020-05-18,38.21172,Alabama,2020,,,,
339,Donald Trump,2020-05-18,58.04348,Alabama,2020,,,,
340,Joseph R. Biden Jr.,2020-05-17,38.33116,Alabama,2020,,,,
341,Donald Trump,2020-05-17,58.24955,Alabama,2020,,,,
342,Joseph R. Biden Jr.,2020-05-16,38.38199,Alabama,2020,,,,
343,Donald Trump,2020-05-16,58.19925,Alabama,2020,,,,
344,Joseph R. Biden Jr.,2020-05-15,38.37395,Alabama,2020,,,,
345,Donald Trump,2020-05-15,58.25119,Alabama,2020,,,,
346,Joseph R. Biden Jr.,2020-05-14,38.35669,Alabama,2020,,,,
347,Donald Trump,2020-05-14,58.23779,Alabama,2020,,,,
348,Joseph R. Biden Jr.,2020-05-13,38.22349,Alabama,2020,,,,
349,Donald Trump,2020-05-13,58.25011,Alabama,2020,,,,
350,Joseph R. Biden Jr.,2020-05-12,38.26811,Alabama,2020,,,,
351,Donald Trump,2020-05-12,58.16938,Alabama,2020,,,,
352,Joseph R. Biden Jr.,2020-05-11,38.23402,Alabama,2020,,,,
353,Donald Trump,2020-05-11,58.21305,Alabama,2020,,,,
354,Joseph R. Biden Jr.,2020-05-10,38.23652,Alabama,2020,,,,
355,Donald Trump,2020-05-10,58.21631,Alabama,2020,,,,
356,Joseph R. Biden Jr.,2020-05-09,38.13063,Alabama,2020,,,,
357,Donald Trump,2020-05-09,58.06253,Alabama,2020,,,,
358,Joseph R. Biden Jr.,2020-05-08,38.24854,Alabama,2020,,,,
359,Donald Trump,2020-05-08,58.17259,Alabama,2020,,,,
360,Joseph R. Biden Jr.,2020-05-07,38.21912,Alabama,2020,,,,
361,Donald Trump,2020-05-07,58.19831,Alabama,2020,,,,
362,Joseph R. Biden Jr.,2020-05-06,38.22971,Alabama,2020,,,,
363,Donald Trump,2020-05-06,58.20443,Alabama,2020,,,,
364,Joseph R. Biden Jr.,2020-05-05,38.35905,Alabama,2020,,,,
365,Donald Trump,2020-05-05,58.2305,Alabama,2020,,,,
366,Joseph R. Biden Jr.,2020-05-04,38.50509,Alabama,2020,,,,
367,Donald Trump,2020-05-04,58.13171,Alabama,2020,,,,
368,Joseph R. Biden Jr.,2020-05-03,38.39417,Alabama,2020,,,,
369,Donald Trump,2020-05-03,58.16469,Alabama,2020,,,,
370,Joseph R. Biden Jr.,2020-05-02,38.44685,Alabama,2020,,,,
371,Donald Trump,2020-05-02,58.15477,Alabama,2020,,,,
372,Joseph R. Biden Jr.,2020-05-01,38.42208,Alabama,2020,,,,
373,Donald Trump,2020-05-01,58.18564,Alabama,2020,,,,
374,Joseph R. Biden Jr.,2020-04-30,38.33291,Alabama,2020,,,,
375,Donald Trump,2020-04-30,58.19189,Alabama,2020,,,,
376,Joseph R. Biden Jr.,2020-04-29,38.33298,Alabama,2020,,,,
377,Donald Trump,2020-04-29,58.19186,Alabama,2020,,,,
378,Joseph R. Biden Jr.,2020-04-28,38.60152,Alabama,2020,,,,
379,Donald Trump,2020-04-28,58.21791,Alabama,2020,,,,
380,Joseph R. Biden Jr.,2020-04-27,38.33168,Alabama,2020,,,,
